ID,Hospital_name,Hospital_Address,Hospital_Parking,Hospital_Tel,Hospital_location_lat,Hospital_location_lng
H0000000000000000018,基督復臨安息日會臺安醫院,台北市松山區八德路二段424號,是,(02)-27318919,25.0480541,121.547339
H0000000000000000019,台北市立聯合醫院,台北市南港區同德路87號,是,（02）2786-1288,25.0465327,121.5860755
H0000000000000000020,台北榮民總醫院,台北市石牌路二段201號,是,(02)2871-2121,25.1192105,121.5203822
H0000000000000000021,台中大里仁愛醫院,台中縣大里市東榮路483號,是,04-24819900-2224,24.1092272,120.6805749
H0000000000000000022,長庚醫院,桃園縣龜山復興街五號,否,NA,25.061872,121.3676574
H0000000000000000023,高雄阮綜合醫院,高雄市苓雅區成功一路162號,是,(07)335-3395,22.6154371,120.297974
H0000000000000000024,黃勝雄診所,基隆市仁愛區南榮路115號,是,(02)2422-0470(請先電話連繫),25.1253368,121.7430476
H0000000000000000025,國泰綜合醫院,臺北市仁愛路四段280號,是,02-27082121,25.0368886,121.5535802
H0000000000000000026,耕莘醫院,台北縣新店市中正路362號,是,0222193391,24.976293,121.5357523
H0000000000000000027,嘉義天主教聖馬爾定醫院,嘉義市大雅路二段565號,否,05-2756000,23.4776046,120.4722241
H0000000000000000028,北醫附設醫院,台北市信義區吳興街252號,是,(02)2737-2181,25.0267923,121.5635584
H0000000000000000029,台中縣大里仁愛醫院,台中縣大里市東榮路483號,是,04-24819900,24.1092272,120.6805749
H0000000000000000030,台北北投振興醫院,台北市北投區振興街45號,是,NA,25.117512,121.5224672
H0000000000000000031,財團法人仁愛綜合醫院,台中縣大里市東榮路483號,是,(04)481-9900,24.1092272,120.6805749
H0000000000000000032,行政院衛生署金門醫院,金門縣金湖鎮復興路２號,否,082-332546-1806,24.4406942,118.4200875
H0000000000000000033,宏科醫院,台南縣善化鎮三民路1-35號,否,(06)581-8868,23.12766,120.2870613
H0000000000000000034,羅東博愛醫院,宜蘭縣羅東鎮南昌街83號,是,(03)954-3131,24.6716881,121.7731576
H0000000000000000035,三軍總醫院,北市成功路二段325號,否,02-87923311,24.8181794,120.9628725
H0000000000000000036,台南市陳偉寶泌尿科診所,台南市中山路86號,是,(06)227-0139,22.9941157,120.2077217
H0000000000000000037,高雄市立聯合醫院,高雄市鼓山區中華一路976號,否,07-5552565ext2239,22.654927,120.291194
H0000000000000000038,劉樂輝泌尿皮膚科,高雄市建工路810號,是,(07)386-6781,22.648384,120.317973
H0000000000000000039,上海455醫院,上海市淮海西路338號,是,0086-0-13611659996,31.199525,121.428535
H0000000000000000040,AHealthClinic聖沁泌尿、京媛醫學美容診所,台北市松山區南京東路三段259號,是,0939-596-253,25.0520289,121.5449105
H0000000000000000041,署立苗栗醫院,苗栗市為公路747號,是,(037)261-920,24.5755097,120.8410317
H0000000000000000042,奇美醫院,台南市柳營區太康里201號,否,(06)6226-999,23.2876668,120.3349024
H0000000000000000043,潤泰集團榮新診所,台北市大安區建國南路2段276號,是,23623258#3534,25.0252464,121.5372397
H0000000000000000044,台南基督教新樓醫院,台南市東區東門路一段57號,是,NA,22.9891433,120.213285
H0000000000000000045,致康診所,臺中市漢口路2段32號,是,(04)2311-9595,24.163132,120.65831
H0000000000000000046,財團法人彰化基督教醫院,彰化市南校街135號,是,(04)723-8595,24.0711417,120.5446819
H0000000000000000047,高雄右昌聯合醫院,高雄市楠梓區軍校路930號,是,07-3643388,22.713498,120.2909126
H0000000000000000048,台北市立和平醫院,台北市中華路二段33號,是,(02)2388-9595,25.0458251,121.4535475
H0000000000000000049,中山醫學大學,中山大慶院區台中市南區建國北路一段110號,否,(04)2475-0011,24.1218043,120.6516971
H0000000000000000050,宏恩醫院,台北市大安區忠孝東路3段86號,是,27313379,25.041622,121.535896
H0000000000000000051,九條城中醫診所,桃園市民生路333號,是,(03)331-9290,24.9982607,121.3111914
H0000000000000000052,壢新醫院,桃園縣平鎮市廣泰路77號,是,03-4931800,24.9466922,121.2053006
H0000000000000000053,署立桃園醫院,桃園中山路1492號,是,(03)369-9721,24.9776782,121.2692629
H0000000000000000054,吳奕宏診所,桃園縣龜山鄉自強南路340號,是,(03)320-8383,24.990412,121.3354818
H0000000000000000055,怡人診所,台南縣永康市復興路15號,否,(06)272-0777,22.9984873,120.2500827
H0000000000000000056,行政院衛生署雙和醫院,台北縣中和市中正路291號,是,02-22490088,24.9931046,121.4936519
H0000000000000000057,李文華診所,新竹市民生路225號,是,(03)535-5811,24.8119,120.9755285
H0000000000000000058,聯和診所,台北縣中和市員山路116號,是,(02)2226-2962,24.9957839,121.481234
H0000000000000000059,林信常內兒胃腸肝膽專科診所,台南市東區東安路50號,否,06-2362853,22.9920693,120.2263503
H0000000000000000060,胃腸視內科診所,台南市開元路337-1號,否,06-2379121,23.3234199,120.338261
H0000000000000000061,西園醫院,臺北市西園路二段270號,是,02-23076968,25.0276308,121.4943587
H0000000000000000062,台北、林口長庚醫院,桃園縣龜山鄉復興街5號,是,NA,25.061872,121.3676574
H0000000000000000063,光田醫療社團法人光田綜合醫院,台中市沙鹿區沙田路117號,是,(04)26625111,24.2354394,120.5588678
H0000000000000000064,達康診所,台中市西區英才路509號,是,(04)2302-0899,24.1475736,120.6654335
H0000000000000000065,林口長庚醫學中心,桃園縣龜山復興街5號,是,(03)328-1200轉2119,25.061872,121.3676574
H0000000000000000066,中壢暨楊梅天晟醫院,中壢市延平路155號,是,(03)462-9292,24.9626431,121.2290242
H0000000000000000067,署立豐原醫院,台中縣豐原市安康路100號,是,NA,24.2428051,120.7252423
H0000000000000000068,國軍桃園總醫院,桃園縣龍潭鄉中興路168號,否,(03)480-7795,24.9157074,121.1857579
H0000000000000000069,新店慈濟醫院,台北縣新店市建國路289號,否,(02)6628-9779,24.9859746,121.5358551
H0000000000000000070,長庚紀念醫院,桃園縣龜山鄉復興街5號,是,(03)328-1200(代表號),25.061872,121.3676574
H0000000000000000071,埔里榮民醫院,南投縣埔里鎮榮光路1號,否,NA,23.9758344,120.995785
H0000000000000000072,竹山秀傳醫院,南投縣竹山鎮集山路2段75號,否,049-2624266-32103,23.8002226,120.7139639
H0000000000000000073,臺北醫學大學,台北市吳興街252號,是,02-27372181,25.0267923,121.5635584
H0000000000000000074,黃骨科外科診所,台中縣大雅鄉雅潭路397號,是,NA,24.2214996,120.6497903
H0000000000000000075,台北市立中興醫院,台北市鄭州路145號,是,(02)2552-3234,25.0509696,121.5093209
H0000000000000000076,熱河診所,高雄市三民區熱河一街190號,是,(07)321-4519,22.643726,120.30852
H0000000000000000077,新生實和聯合診所,台北市新生南路一段111號,是,(02)2781-9006,25.0404479,121.5330699
H0000000000000000078,適健復健科診所,台北市忠孝東路四段183號,是,(02)8771-7039,25.0417138,121.5509032
H0000000000000000079,康寧醫院,台北市內湖區成功路五段420巷26號,是,(02)2634-5500#15072,25.0758921,121.6087332
H0000000000000000080,上禾診所,高雄縣鳳山市文衡路508號,是,(07)777-6070,22.64122,120.349247
H0000000000000000081,屏東市寶建醫院,屏東市中山路123號,是,08-7665995,22.6814452,120.4844431
H0000000000000000082,桃園德群骨科診所,桃園縣桃園市中華路128號,是,(03)338-2700,24.9904079,121.307893
H0000000000000000083,熱河聯合診所,高雄市三民區熱河一街190號,是,(07)321-4519,22.643726,120.30852
H0000000000000000084,康群骨科診所,桃園縣蘆竹鄉仁愛路一段22號,是,03-3120230,25.0510962,121.2948955
H0000000000000000085,行政院衛生署豐原醫院,豐原市安康路100號,是,04-25271180,24.2428051,120.7252423
H0000000000000000086,國軍花蓮總醫院,花蓮縣新城鄉嘉里村嘉里路163號,否,NA,24.0249411,121.6064741
H0000000000000000087,大愛中醫診所,楊梅鎮埔心里永美路319號,否,NA,24.9173715,121.1822367
H0000000000000000088,羅東聖母醫院,宜蘭縣羅東鎮中正南路160號,是,(03)954-4106轉6518,24.6718382,121.7715737
H0000000000000000089,彰化鹿港百川醫院,彰化縣鹿港鎮中正路480號,是,(04)776-9595分機168,24.0601543,120.4381788
H0000000000000000090,板橋實和聯合診所,板橋市四川路一段159號,是,(02)2955-0389,25.0040023,121.4600959
H0000000000000000091,臺北市立聯合醫院,台北市萬華區昆明街100號,是,(02)2388-7088,25.0443235,121.5049198
H0000000000000000092,台大復健整復中心,雲林縣斗南鎮大同路287號,否,(05)595-0339,23.6860337,120.4712696
H0000000000000000093,義大醫院,屏東縣東港鎮光復路一段331號,否,(07)615-0011,22.4696418,120.4567957
H0000000000000000094,台中榮民總醫院,台中市西屯區台中港路三段160號,是,(04)23592525#3533,24.1733067,120.6332212
H0000000000000000095,中國醫藥大學附設醫院,台中市北區育德路2號,是,04-22052121-2380,24.1576494,120.6805492
H0000000000000000096,實康復健科診所,淡水鎮學府路36號,是,02)2629-2000,25.1689493,121.4480137
H0000000000000000097,板橋蕭中正醫院,板橋市南雅南路一段15-1號,是,02-29685661,25.0069668,121.4564931
H0000000000000000098,南部唯一國立醫學中心,台南市勝利路138號,否,06-2353535,23.150463,120.179148
H0000000000000000099,天才領袖幼兒教育中心,台中市一中街219巷8號,是,NA,24.1465171,120.6840108
H0000000000000000100,苗栗市大千綜合醫院,苗栗市恭敬路36號,是,037-357125,24.5498554,120.8148874
H0000000000000000101,衛生福利部桃園醫院,桃園市中山路1492號,是,03-3699721,24.9776782,121.2692629
H0000000000000000102,亞東紀念醫院,台北縣板橋市南雅南路2段21號,是,02-89667000,24.9972647,121.4527715
H0000000000000000103,合健診所,台北縣三重市仁義街407號,是,02-28578142,25.0841689,121.4953548
H0000000000000000104,南基、大里仁愛醫院,台中縣大里市東榮路483號,是,(04)2481-9900,24.1092272,120.6805749
H0000000000000000105,國軍台中總醫院,中縣太平市中山路二段348號,是,04-23925948,24.1501478,120.7284787
H0000000000000000106,林口長庚醫院,台北市敦化北路199號,是,（03）328-1200#2855,25.0556463,121.5492506
H0000000000000000107,信恩整形外科診所,台北市信義路二段72號,是,(02)2393-2388,25.0342198,121.5262627
H0000000000000000108,名人整形外科診所,臺北市敦化南路一段376號,是,(02)27053899,25.0335467,121.5481859
H0000000000000000109,泛亞診所,台北市復興北路48號,是,02-27529999,25.0495554,121.5437294
H0000000000000000110,劉豪文整形醫美診所,台北市中山北路二段31號,是,(02)25811000,25.0532948,121.5228428
H0000000000000000111,中山實美診所,臺北市中山北路二段106-2號,是,(02)2551-2000,25.060211,121.522597
H0000000000000000112,實美整形外科診所,台北市信義路四段63號,是,(02)2754-2000,25.0326222,121.5457878
H0000000000000000113,梁夫人整形外科診所,台中市華美西街一段36號,是,(04)2323-5839,24.1528285,120.6582669
H0000000000000000114,台中市長興醫院,台中市南區復興路二段11號,是,(04)2263-8383,24.1180933,120.6585828
H0000000000000000115,熱河醫學美容中心,高雄市三民區熱河一街192號,是,(07)321-0888,22.643729,120.308379
H0000000000000000116,張立言整形外科診所,台中市惠中路二段45號,是,(04)2255-0055,24.155636,120.641125
H0000000000000000117,臺北市張國華整形外科診所,台北市南京東路五段48號,是,(02)2756-5486(02)2756-5488,25.0512881,121.5599386
H0000000000000000118,雅丰時尚診所,台北市忠孝東路四段289號,是,(02)2751-7700,25.041701,121.554714
H0000000000000000119,台北醫院,台北市吳興街250號,是,(02)2736-1661,25.0259514,121.5612671
H0000000000000000120,人本美學整形外科診所,新竹縣竹北市縣政九路207號,是,(03)558-3771,24.8316055,121.0119782
H0000000000000000121,BC時尚診所,台北市忠孝西路一段33號,是,0922-332313,25.0460657,121.5187553
H0000000000000000122,賴永隆整形外科診所,台北市復興北路331號,是,25473797,25.0596758,121.5444275
H0000000000000000123,曹賜斌聯合整形外科診所,高雄市苓雅區建國一路90號,是,07-725-8599,22.6318256,120.3327019
H0000000000000000124,台大醫院,雲林縣斗六市雲林路二段579號,是,NA,23.6975466,120.5259195
H0000000000000000125,高雄醫學大學,高雄市三民區自由一路100號,是,07-3121101,22.6462853,120.3092701
H0000000000000000126,臺北市立仁愛醫院,台北市仁愛路四段10號,是,(02)27093600,25.037512,121.545224
H0000000000000000127,市立陽明醫院,台北市雨聲街105號,是,(02)2835-3456#6629,25.1053329,121.5317621
H0000000000000000128,台北縣立醫院,台北縣三重市中山路2號,是,(02)2982-9111,25.0608656,121.4907825
H0000000000000000129,彰化秀傳醫院,彰化縣彰化市中山路一段542號,是,NA,24.0647705,120.5374429
H0000000000000000130,天津市第一中心,中國，天津，南開區復康路24號,是,086-022-23343146,39.100299,117.15282
H0000000000000000131,曲孝禮診所,臺北縣新莊市公園一路84號,是,0918028656,25.036889,121.443363
H0000000000000000132,大里仁愛綜合醫院,台中縣大里市東榮路483號,是,(04)2481-9900#1974,24.1092272,120.6805749
H0000000000000000133,和欣診所,北縣中和市連城路115號,是,02-22473305,24.999345,121.496336
H0000000000000000134,台中東山聯合診所,台中市北屯區東山路1段308號,否,04-24378500,24.1758344,120.7211634
H0000000000000000135,鄭永穆診所,高雄市路竹區中和街180號,否,07-6072211,22.8545265,120.257874
H0000000000000000136,信德診所,台北縣板橋市文化路一段310號,是,(02)2257-0295,25.021922,121.467771
H0000000000000000137,大容診所,台中市南屯區大十谷東街14號,否,0423288521,24.1547304,120.6807984
H0000000000000000138,楊國明身心科診所,台東市南京路145號,是,089-346379,22.7568187,121.1465236
H0000000000000000139,心寧診所,桃園市中山路1080號,是,,24.9875201,121.2831478
H0000000000000000140,松德診所,北市信義區松德路122號,是,02-2729-0336,25.0333366,121.5742188
H0000000000000000141,岡山樂安醫院,岡山鎮通校路300號,否,(07)615-6555,22.7925228,120.2812662
H0000000000000000142,同心診所,花蓮縣花蓮市富國路139號,否,03-8567803,23.9897446,121.5945157
H0000000000000000143,台北市振興醫院,台北市北投區振興街45號,是,(02)2826-4400#3511,25.117512,121.5224672
H0000000000000000144,台北市立萬芳醫院,台北市文山區興隆路三段111號,是,(02)2930-7930#1523,25.0004801,121.5584967
H0000000000000000145,殷建智精神科診所,台南市北區公園北路152號,是,(06)281-0008,23.0052469,120.2082296
H0000000000000000146,高杏診所,彰化縣員林鎮中正路二二六號,否,04-8347798,23.9542117,120.574708
H0000000000000000147,童綜合醫院,台中縣沙鹿鎮成功西街8號,是,04-26626161#717,24.242947,120.56069
H0000000000000000148,慈惠醫院,高雄縣大寮鄉鳳屏一路509號,否,(07)703-0315轉3121,22.6372949,120.3940282
H0000000000000000149,楊寬弘診所,高雄市凱旋二路128號,是,(07)724-0088,22.6244103,120.3242682
H0000000000000000150,財團法人為恭紀念醫院,苖栗縣頭份鎮水源路417巷13號,否,(037)685-569,24.6776805,120.9098541
H0000000000000000151,康和診所,台北市忠孝東路四段216巷11弄8號,是,(02)2752-3234,25.040753,121.5533011
H0000000000000000152,林青穀家庭醫學診所,台北市大安路一段2-1號,是,(02)2731-7557,25.0448141,121.5461047
H0000000000000000153,敦南心診所,台北市大安區樂利路109號,是,02-27331995,25.0250688,121.5524245
H0000000000000000154,台中明德醫院,台中縣梧棲鎮仁美街33巷50號,否,04-26579595(明德醫院),24.2544751,120.5375167
H0000000000000000155,臺安醫院,台北市八德路二段424號,是,(02)2771-8151,25.0480541,121.547339
H0000000000000000156,羅信宜精神科診所,台南市北區長榮路四段141號,否,06-2002268,23.0060219,120.2217545
H0000000000000000157,阮綜合醫療社團法人阮綜合醫院,高雄市苓雅區成功一路162號,是,(07)3351121~31,22.6154371,120.297974
H0000000000000000158,維心診所,高雄縣岡山鎮崗山路314號,是,07-6231830,22.7937201,120.2959506
H0000000000000000159,屏東縣佑青醫院,屏東縣內埔鄉建興村建興路218巷19號,否,08-7705115#101,22.665878,120.567644
H0000000000000000160,許森彥精神科診所,台南市北區育德路466號,否,06-2513283(預約專線),23.0132519,120.2066591
H0000000000000000161,光流聯合診所,台中市西屯區政和路152號,是,０８００－８８５－９９０,24.156828,120.6407211
H0000000000000000162,欣悅診所,台南市南區夏林路101號,是,06-2283065,22.9821343,120.1952383
H0000000000000000163,樂為診所,板橋區漢生西路68號,是,02-2250-0007,25.018989,121.463136
H0000000000000000164,黃偉俐診所,台北天津街37號,是,02-25114123,25.0497733,121.5230089
H0000000000000000165,心樂活診所,台南市東區凱旋路39號,否,06-2383636,22.992856,120.230292
H0000000000000000166,晴美身心診所,新北市新莊區中正路577號,是,02-29081775,25.0324149,121.434598
H0000000000000000167,慈濟綜合醫院,新店區建國路289號,否,NA,24.9859746,121.5358551
H0000000000000000168,陳炯旭診所,桃園縣中壢市六和路8號,否,032805285,24.9643742,121.2243607
H0000000000000000169,臺北市立聯和醫院,北市信義區松德路309號,否,02-27263141,25.0333366,121.5742188
H0000000000000000170,台北市立婦幼醫院,台北市中正區福州街12號,是,(02)2391-6470#310,25.029082,121.5192681
H0000000000000000171,康婕婦產科,台北市大安區光復南路240巷23號,是,(02)2772-7282,25.040707,121.5564062
H0000000000000000172,台北長庚醫院,台北市敦化北路199號,是,02-2713-5211,25.0556463,121.5492506
H0000000000000000173,吳虹婦產科,高雄市左營區新庄仔路273號,是,(07)3507101,22.6694042,120.3069562
H0000000000000000174,財團法人恩主公醫院,台北縣三峽鎮復興路399號,是,(02)2672-3456,24.938429,121.362845
H0000000000000000175,敦南實和聯合診所,台北市復興南路2段151巷33號,是,(02)2700-1345,25.0285301,121.5448858
H0000000000000000176,崇安婦產科,台北縣汐止市湖前街60號,否,(02)2695-9008,25.0701555,121.6321538
H0000000000000000177,台北中山醫院,台北市仁愛路4段112巷11號,是,0972710133,25.0366641,121.5499766
H0000000000000000178,許文正婦產科,台南縣永康市永大路二段55號,否,(06)272-4572,23.0030184,120.2601605
H0000000000000000179,樹林劉遠祺婦產科,台北縣樹林市中華路112號,是,(02)8686-5966,24.9280008,121.3711426
H0000000000000000180,台北宏恩綜合醫院,台北市仁愛路四段71巷1號,是,02-27713161,25.0381916,121.5466881
H0000000000000000181,愛文診所,台北市文山區興隆路二段243號,是,(02)2930-9998,25.0018676,121.5513238
H0000000000000000182,大佳婦產科,台北市中正區信陽街9號,是,02-2388-8686,25.0447134,121.5165914
H0000000000000000183,長欣婦產科,臺北市文山區興隆路四段60號,是,(02)2936-7898,24.9853891,121.5611993
H0000000000000000184,遠華婦產科,臺北縣板橋市三民路二段110號,是,(02)8953-5508,25.016647,121.478986
H0000000000000000185,蘆洲宥生婦產專科診所,台北縣蘆洲市三民路13~15號,是,NA,25.0822458,121.47562
H0000000000000000186,台北國泰綜合醫院,台北國泰綜合醫院臺北市仁愛路四段280號,是,02-27082121,25.036827,121.553682
H0000000000000000187,大林慈濟醫院,嘉義大林鎮民生路二號,否,(05)264-8000,23.596561,120.4571827
H0000000000000000188,新竹縣竹北市東元醫院,新竹縣竹北市縣政二路69號,是,NA,24.8237077,121.0144114
H0000000000000000189,許文德婦產科,嘉義市垂楊路８１８號,否,NA,23.4730594,120.4403488
H0000000000000000190,行政院衛生署台北醫院,台北縣新莊市思源路127號,是,02-22765566,25.0429644,121.4595886
H0000000000000000191,惠生婦產科,台北縣樹林市中山路一段27-3號,是,02-86875678,24.9933799,121.4248
H0000000000000000192,辰祐婦產科,新北市板橋區四川路一段152號,是,02-29560015,25.003412,121.459873
H0000000000000000193,幸福美學診所,台北市羅斯福路四段50號,是,(02)2362-7891,25.0150369,121.533779
H0000000000000000194,台北慈濟醫院,新店市建國路289號,否,02-6628-9779,24.9859746,121.5358551
H0000000000000000195,台中童綜合醫院,台中縣梧棲鎮中棲路一段699號,是,(04)2658-1919,24.2418436,120.5578838
H0000000000000000196,部立桃園醫院,桃園市中山路1492號,是,03-3699721,24.9776782,121.2692629
H0000000000000000197,中國醫藥學院,雲林縣北港鎮文仁路118之4號,否,（05）7837901#1052，1107,23.5786816,120.300907
H0000000000000000198,財團法人新光吳火獅紀念醫院,台北市士林區111文昌路95號,是,(02)2833-2211ext.2703,25.0962573,121.5204014
H0000000000000000199,朱裕民耳鼻喉科張美欣皮膚科,台北縣淡水鎮英專路96號,是,(02)8631-7678,25.1717054,121.4458644
H0000000000000000200,蘇仁和耳鼻喉科診所,台北市大安區安和路一段11號,是,NA,25.0397162,121.5498273
H0000000000000000201,詮順耳鼻喉科診所,桃園縣中壢市內壢榮民路37號,否,03-4355300,24.969745,121.2608297
H0000000000000000202,高柏森耳鼻喉科診所,新北市三重區正義北路191號,是,(02)2983-9808,25.0680241,121.4963564
H0000000000000000203,台中市世鴻耳鼻喉科診所,台中市西區美村路一段380號,是,(04)2302-5534,24.1445465,120.6614903
H0000000000000000204,許英哲耳鼻喉科診所,高雄市左營區華夏路1139號,是,07-3592268,22.684342,120.30901
H0000000000000000205,蘇鉉釗耳鼻喉科蘇信福家醫科聯合診所,高雄市新興區林森一路274號,是,(07)237-9119,22.6362245,120.3052042
H0000000000000000206,陳柏蒼耳鼻喉科診所,高雄縣鳳山市文衡路480號,是,(07)777-5388,22.6409565,120.3504259
H0000000000000000207,財團法人長庚紀念醫院,桃園縣龜山鄉復興街五號,否,(03)328-1200,25.061872,121.3676574
H0000000000000000208,慈濟醫院,嘉義縣大林鎮民生路2號,是,NA,23.596561,120.4571827
H0000000000000000209,阮嵩翔耳鼻喉科診所,台南縣永康市大灣路918號,否,06-2728333,22.9996339,120.255494
H0000000000000000210,財團法人義大醫院,高雄縣燕巢鄉角宿村義大路一號,否,07-6150011,22.770797,120.358397
H0000000000000000211,黃天一耳鼻喉科診所,蘆洲市中山一路180號,是,02-82811100,25.0811991,121.4740743
H0000000000000000212,信君耳鼻喉科診所,高雄市苓雅區武廟路30號,是,(07)7168385,22.6300824,120.3321557
H0000000000000000213,嘉義基督教醫院,嘉義市忠孝路539號,是,NA,23.4994174,120.450168
H0000000000000000214,土城板橋仁祐耳鼻喉科診所,四川路二段39號,是,02-89663577,30.5991686,104.1259691
H0000000000000000215,許明哲耳鼻喉科診所,宜蘭縣宜蘭市中山路三段92號,是,,24.757368,121.7527676
H0000000000000000216,柯銘澤耳鼻喉科診所,高雄市左營區忠言路81號,是,NA,22.6582727,120.3061377
H0000000000000000217,桃園大溪誠德耳鼻喉科診所,桃園縣大溪鎮康莊路192號,是,(03)3883132,24.8799633,121.2884773
H0000000000000000218,詹益智耳鼻喉科診所,三重市重陽路四段六號,否,02-29859589,25.06898,121.490531
H0000000000000000219,承安耳鼻喉科&小兒科診所,高雄市三民區力行路250號,是,07-3160789,22.6380744,120.2866591
H0000000000000000220,大桃園耳鼻喉科診所,桃園縣大溪鎮康莊路100號,是,(03)3870976,24.8821169,121.2881396
H0000000000000000221,樹林朱水松耳鼻喉科&財團法人新光吳火獅紀念醫院,新北市樹林區中山路一段151之2號,是,(02)26812928,24.988961,121.422156
H0000000000000000222,中山民權王耳鼻喉科診所,台北市中山北路二段166號,是,(02)2594-8759,25.0631054,121.5224302
H0000000000000000223,寰東耳鼻喉科診所,中壢市環中東路187號,否,03-4559069,24.9648054,121.258516
H0000000000000000224,博仁綜合醫院,台北市松山區光復北路66號,是,02-2578-6677#2010,25.0499097,121.5576835
H0000000000000000225,新竹米羅牙醫,新竹市光復路一段432號,是,(03)564-2009,24.7848123,121.0141231
H0000000000000000226,貝爾齒顎矯正專科診所,台北市大安區忠孝東路4段218-1號,是,(02)2778-8068,25.041055,121.553162
H0000000000000000227,昱雅牙醫,台北縣永和市中正路487號,是,(02)2929-3908,25.0065685,121.5169411
H0000000000000000228,李美玲齒顎矯正專科診所,台北市民生東路三段113巷11號,是,(02)8712-4699,25.0587399,121.5462344
H0000000000000000229,康軒牙醫,台北市信義路四段177號,是,(02)27099987,25.0333774,121.550611
H0000000000000000230,元品牙醫,台北市松山區饒河街198號,是,02-27473212,25.0507674,121.5767208
H0000000000000000231,龍安牙醫,新北市新莊區民安西路78巷1號,是,(02)2206-8866,25.01981,121.426967
H0000000000000000232,明清牙醫,北市信義路6段42號,是,02-27264940,25.102874,121.511401
H0000000000000000233,慈恩牙醫,台北縣深坑鄉北深路二段125號,是,(02)2664-6288,25.0035257,121.6174793
H0000000000000000234,御田牙醫,台北縣板橋市文化路一段27號,是,(02)2968-5999,25.0128109,121.4600402
H0000000000000000235,上華牙醫,桃園市成功路2段127號,是,(03)331-8836,24.99475,121.3182269
H0000000000000000236,雙連牙醫,台北市民生西路138號,是,NA,25.0573123,121.5188707
H0000000000000000237,朱裕華牙醫,台中市西區美村路一段60號,是,(04)2326-1777(04)2326-1793,24.153043,120.661389
H0000000000000000238,向日葵牙醫,台南市東區中華東路2段303號,否,(06)290-9261,22.98236,120.230935
H0000000000000000239,仁祥牙醫,台北縣土城市青雲路226號,是,(02)8262-2870,24.9809557,121.4589352
H0000000000000000240,禾睿牙醫,台北市北投區西安街一段367號,是,02-28202608,25.1145729,121.515081
H0000000000000000241,花蓮微笑牙醫,花蓮市富國路3號,是,03-8460303,23.9917001,121.5973387
H0000000000000000242,吉貝牙醫,台北市內湖區行善路25巷1弄9號,是,02-87903050,25.0564658,121.5762854
H0000000000000000243,台中市愛鄰牙醫,彰化縣溪湖鎮員鹿路三段191號,否,04-8852347,23.9611875,120.4793148
H0000000000000000244,板橋嘉得牙醫,新北市板橋區館前東路108號,是,02-77305557,25.0075498,121.463186
H0000000000000000245,平安牙醫,臺南市民生路一段194號,是,(06)2222966,22.9945557,120.1993661
H0000000000000000246,高雄市仁武家康牙醫,高雄市仁武區八德中路152號,否,07-3740505,22.6867203,120.3372648
H0000000000000000247,四季牙醫,新北市林口區仁愛路二段8號,是,(02)26028518,25.0763911,121.3859236
H0000000000000000248,石牌邱聯合診所,台北市北投區石牌路一段23號,是,(02)2828-1222,25.1129664,121.5099068
H0000000000000000249,台北市麥茵茲診所,台北市長安東路一段67號,否,(02)2522-1900#210,25.0484993,121.527761
H0000000000000000250,于賓診所,台北市忠孝東路三段305號,是,(02)2721-5996,25.0418732,121.5435307
H0000000000000000251,高雄麗晶診所,高雄市801前金區五福三路63號,是,(07)201-4567,22.6214004,120.2965959
H0000000000000000252,洪志淳皮膚科,台北市中央南路一段185號,是,(02)2894-0110,25.1289005,121.5012451
